val_loss,epoch,step,train_loss
0.7068450450897217,0,40,
,1,49,0.7293235063552856
0.7065427303314209,1,81,
,2,99,0.7294543981552124
0.7063106894493103,2,122,
,3,149,0.7229055166244507
0.7059764266014099,3,163,
,4,199,0.7086398005485535
0.7057451009750366,4,204,
0.7054664492607117,5,245,
,6,249,0.7128381133079529
0.70522540807724,6,286,
,7,299,0.6773790717124939
0.7050065994262695,7,327,
,8,349,0.7309184074401855
0.7047377824783325,8,368,
,9,399,0.69967120885849
0.7045942544937134,9,409,
,10,449,0.7371116876602173
0.704407811164856,10,450,
0.7041898965835571,11,491,
,12,499,0.6529039144515991
0.7039856910705566,12,532,
,13,549,0.6656575202941895
0.7038086652755737,13,573,
,14,599,0.6642428040504456
