train_loss,epoch,step,val_loss
0.6707602143287659,0,49,
0.7463857531547546,0,99,
,0,103,0.7016080021858215
0.6620244383811951,1,149,
0.669663667678833,1,199,
,1,207,0.6963899731636047
0.7359195947647095,2,249,
0.6902161836624146,2,299,
,2,311,0.6947043538093567
0.6873893141746521,3,349,
0.7067919373512268,3,399,
,3,415,0.6940001249313354
0.6876513957977295,4,449,
0.6916318535804749,4,499,
,4,519,0.6936315894126892
0.6892992854118347,5,549,
0.6776973009109497,5,599,
,5,623,0.6934853792190552
0.6691160202026367,6,649,
0.7156293988227844,6,699,
,6,727,0.6933670043945312
0.6820917129516602,7,749,
0.6987929940223694,7,799,
,7,831,0.6930356621742249
0.7075942158699036,8,849,
0.6940401196479797,8,899,
,8,935,0.6927861571311951
0.6618238091468811,9,949,
0.6646421551704407,9,999,
,9,1039,0.6925311088562012
0.6473159790039062,10,1049,
0.6648365259170532,10,1099,
,10,1143,0.6924008131027222
0.675511360168457,11,1149,
0.7110435962677002,11,1199,
,11,1247,0.6922969222068787
0.6794759631156921,12,1249,
0.6714246273040771,12,1299,
0.6770797967910767,12,1349,
,12,1351,0.6921533942222595
0.6604781746864319,13,1399,
0.6883441209793091,13,1449,
,13,1455,0.6919620037078857
0.6922374367713928,14,1499,
0.6847930550575256,14,1549,
,14,1559,0.6919090747833252
0.6865643262863159,15,1599,
0.7142437696456909,15,1649,
,15,1663,0.6917502880096436
0.6957963705062866,16,1699,
0.7184812426567078,16,1749,
,16,1767,0.6917396187782288
0.6813163757324219,17,1799,
0.6655862927436829,17,1849,
,17,1871,0.6917183995246887
0.6966586709022522,18,1899,
0.6915609240531921,18,1949,
,18,1975,0.691577672958374
0.6824641823768616,19,1999,
0.702224850654602,19,2049,
,19,2079,0.6914926171302795
0.6831948161125183,20,2099,
0.7090745568275452,20,2149,
,20,2183,0.691366970539093
0.6761454343795776,21,2199,
0.6665927767753601,21,2249,
,21,2287,0.6913461089134216
0.6786240339279175,22,2299,
0.7024683356285095,22,2349,
,22,2391,0.6912481188774109
0.6729058623313904,23,2399,
0.6755881309509277,23,2449,
,23,2495,0.6910930871963501
0.6823503971099854,24,2499,
0.6817140579223633,24,2549,
0.7159303426742554,24,2599,
,24,2599,0.6909312009811401
0.6930127739906311,25,2649,
0.7009003758430481,25,2699,
,25,2703,0.6908494234085083
0.693192720413208,26,2749,
0.6832079291343689,26,2799,
,26,2807,0.6907783150672913
0.7023847103118896,27,2849,
0.7053999304771423,27,2899,
,27,2911,0.6906335353851318
0.6572614908218384,28,2949,
0.6690502166748047,28,2999,
,28,3015,0.6906001567840576
0.6573020815849304,29,3049,
0.7058179974555969,29,3099,
,29,3119,0.6904410719871521
0.6567707061767578,30,3149,
0.6362411975860596,30,3199,
,30,3223,0.6902604103088379
0.6697359681129456,31,3249,
0.6448345184326172,31,3299,
,31,3327,0.6901981234550476
0.6461275815963745,32,3349,
0.6766745448112488,32,3399,
,32,3431,0.6900855302810669
0.6830970048904419,33,3449,
0.6375041007995605,33,3499,
,33,3535,0.6899111866950989
0.7038421034812927,34,3549,
0.6927693486213684,34,3599,
,34,3639,0.6896425485610962
0.6517741680145264,35,3649,
0.695898175239563,35,3699,
,35,3743,0.689397394657135
0.6601470708847046,36,3749,
0.6968238949775696,36,3799,
,36,3847,0.6892486810684204
0.6679996848106384,37,3849,
0.6567071676254272,37,3899,
0.6703315377235413,37,3949,
,37,3951,0.6888954639434814
0.6682092547416687,38,3999,
0.6717457175254822,38,4049,
,38,4055,0.6886056065559387
0.6455535292625427,39,4099,
0.6678570508956909,39,4149,
,39,4159,0.6882771849632263
0.6920406818389893,40,4199,
0.6217547655105591,40,4249,
,40,4263,0.6879703998565674
0.6659992337226868,41,4299,
0.6671962738037109,41,4349,
,41,4367,0.6878762245178223
0.6664999723434448,42,4399,
0.7303644418716431,42,4449,
,42,4471,0.6875826120376587
0.6882337927818298,43,4499,
0.6622572541236877,43,4549,
,43,4575,0.6871156096458435
0.6641494035720825,44,4599,
0.7033766508102417,44,4649,
,44,4679,0.6870058178901672
0.6633279323577881,45,4699,
0.6839785575866699,45,4749,
,45,4783,0.6863367557525635
0.6352405548095703,46,4799,
0.6755812168121338,46,4849,
,46,4887,0.6856867074966431
0.6927993297576904,47,4899,
0.6853779554367065,47,4949,
,47,4991,0.6854786276817322
0.6882200241088867,48,4999,
0.6744991540908813,48,5049,
,48,5095,0.6854627132415771
0.6642696857452393,49,5099,
0.6855464577674866,49,5149,
0.7172694802284241,49,5199,
,49,5199,0.6854797601699829
0.6197965741157532,50,5249,
0.6709282398223877,50,5299,
,50,5303,0.6855155825614929
0.6338943243026733,51,5349,
0.6298848390579224,51,5399,
,51,5407,0.6850771903991699
0.6692208051681519,52,5449,
0.6918363571166992,52,5499,
,52,5511,0.684635579586029
0.6652756333351135,53,5549,
0.662523627281189,53,5599,
,53,5615,0.6843436360359192
0.6871579885482788,54,5649,
0.6619526743888855,54,5699,
,54,5719,0.684131920337677
0.7278890013694763,55,5749,
0.6830702424049377,55,5799,
,55,5823,0.6841277480125427
0.7197669148445129,56,5849,
0.7241709232330322,56,5899,
,56,5927,0.6836662292480469
0.6429778337478638,57,5949,
0.6865394711494446,57,5999,
,57,6031,0.6833493709564209
0.615436315536499,58,6049,
0.6767290234565735,58,6099,
,58,6135,0.6835514307022095
0.6664547920227051,59,6149,
0.6294460296630859,59,6199,
,59,6239,0.6834162473678589
0.7223578691482544,60,6249,
0.7379326820373535,60,6299,
,60,6343,0.6836031079292297
0.6976956129074097,61,6349,
0.6471096873283386,61,6399,
,61,6447,0.6836283206939697
0.6676406860351562,62,6449,
0.6607069969177246,62,6499,
0.6248637437820435,62,6549,
,62,6551,0.6832544207572937
0.6404862999916077,63,6599,
0.5949149131774902,63,6649,
,63,6655,0.6836946606636047
0.7062828540802002,64,6699,
0.6555631160736084,64,6749,
,64,6759,0.6834506988525391
0.6906316876411438,65,6799,
0.7105076909065247,65,6849,
,65,6863,0.683445155620575
0.625288724899292,66,6899,
0.6235912442207336,66,6949,
,66,6967,0.6828256249427795
0.7066482901573181,67,6999,
0.6811344027519226,67,7049,
,67,7071,0.682145893573761
0.6882507801055908,68,7099,
0.636849582195282,68,7149,
,68,7175,0.6821603178977966
0.7104450464248657,69,7199,
0.59633868932724,69,7249,
,69,7279,0.6822192668914795
0.5827730298042297,70,7299,
0.7438681125640869,70,7349,
,70,7383,0.6817672252655029
0.6358656883239746,71,7399,
0.6531411409378052,71,7449,
,71,7487,0.6817798614501953
0.5925731062889099,72,7499,
0.6452030539512634,72,7549,
,72,7591,0.6815478801727295
0.6947306394577026,73,7599,
0.5712531805038452,73,7649,
,73,7695,0.6817624568939209
0.5599202513694763,74,7699,
0.6289510726928711,74,7749,
0.6312999725341797,74,7799,
,74,7799,0.681882381439209
0.6369882822036743,75,7849,
0.7038083076477051,75,7899,
,75,7903,0.6816462874412537
0.7482125163078308,76,7949,
0.6200823187828064,76,7999,
,76,8007,0.6817953586578369
0.5703021883964539,77,8049,
0.6755015254020691,77,8099,
,77,8111,0.6814220547676086
0.5874402523040771,78,8149,
0.6567954421043396,78,8199,
,78,8215,0.6813374757766724
0.5909990668296814,79,8249,
0.7132010459899902,79,8299,
,79,8319,0.6813846826553345
0.737397313117981,80,8349,
0.676459789276123,80,8399,
,80,8423,0.6812475919723511
0.7188544869422913,81,8449,
0.6596788167953491,81,8499,
,81,8527,0.6808516979217529
0.5736207365989685,82,8549,
