val_loss,epoch,step,train_loss
0.35154905915260315,0,40,
,1,49,0.1402723640203476
0.09607165306806564,1,81,
,2,99,0.14084328711032867
0.07967370003461838,2,122,
,3,149,0.04570694640278816
0.0790175199508667,3,163,
,4,199,0.2607855796813965
